time,utc,pdt, open , high , low , close , DailyPLDot , DailyETop ,DailyXTop,DailyXTop2,DailyEBot,DailyXBot,DailyXBot2,HourlyPLDot,HourlyETop,HourlyXTop,HourlyXTop2,HourlyEBot,HourlyXBot,HourlyXBot2
1655679600,6/19/22 23:00,6/19/22 16:00," 12,586.25 "," 12,605.50 "," 12,560.00 "," 12,596.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12502.89,12544.78,12586.67,12628.56,12470.53,12438.17,12405.81
1655683200,6/20/22 0:00,6/19/22 17:00," 12,596.00 "," 12,600.75 "," 12,513.25 "," 12,516.75 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12540.47,12579.11,12617.75,12656.39,12519.03,12497.58,12476.14
1655686800,6/20/22 1:00,6/19/22 18:00," 12,517.50 "," 12,538.00 "," 12,442.00 "," 12,468.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12562.06,12603.69,12645.33,12686.97,12525.11,12488.17,12451.22
1655690400,6/20/22 2:00,6/19/22 19:00," 12,468.50 "," 12,527.50 "," 12,465.00 "," 12,520.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12537.86,12570.64,12603.42,12636.19,12494.31,12450.75,12407.19
1655694000,6/20/22 3:00,6/19/22 20:00," 12,520.75 "," 12,556.75 "," 12,513.75 "," 12,538.00 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12510.19,12546.97,12583.75,12620.53,12464.97,12419.75,12374.53
1655697600,6/20/22 4:00,6/19/22 21:00," 12,538.00 "," 12,541.00 "," 12,507.75 "," 12,513.00 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12507.72,12541.86,12576.00,12610.14,12474.69,12441.67,12408.64
1655701200,6/20/22 5:00,6/19/22 22:00," 12,513.00 "," 12,534.50 "," 12,496.25 "," 12,534.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12520.33,12545.17,12570.00,12594.83,12498.92,12477.50,12456.08
1655704800,6/20/22 6:00,6/19/22 23:00," 12,534.50 "," 12,554.75 "," 12,525.25 "," 12,547.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12526.14,12546.36,12566.58,12586.81,12508.19,12490.25,12472.31
1655708400,6/20/22 7:00,6/20/22 0:00," 12,546.75 "," 12,566.50 "," 12,498.25 "," 12,538.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12528.22,12546.69,12565.17,12583.64,12513.03,12497.83,12482.64
1655712000,6/20/22 8:00,6/20/22 1:00," 12,538.00 "," 12,565.00 "," 12,526.25 "," 12,555.75 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12532.81,12559.03,12585.25,12611.47,12513.69,12494.58,12475.47
1655715600,6/20/22 9:00,6/20/22 2:00," 12,555.75 "," 12,556.50 "," 12,530.50 "," 12,550.50 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12541.92,12567.25,12592.58,12617.92,12521.75,12501.58,12481.42
1655719200,6/20/22 10:00,6/20/22 3:00," 12,550.50 "," 12,570.00 "," 12,541.25 "," 12,545.00 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12543.06,12567.78,12592.50,12617.22,12523.44,12503.83,12484.22
1655722800,6/20/22 11:00,6/20/22 4:00," 12,545.25 "," 12,565.50 "," 12,539.00 "," 12,560.50 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12548.97,12565.28,12581.58,12597.89,12534.11,12519.25,12504.39
1655726400,6/20/22 12:00,6/20/22 5:00," 12,560.50 "," 12,566.75 "," 12,533.75 "," 12,535.75 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12550.97,12565.03,12579.08,12593.14,12537.94,12524.92,12511.89
1655730000,6/20/22 13:00,6/20/22 6:00," 12,535.50 "," 12,544.00 "," 12,501.00 "," 12,532.00 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12550.83,12563.67,12576.50,12589.33,12534.25,12517.67,12501.08
1655733600,6/20/22 14:00,6/20/22 7:00," 12,531.75 "," 12,553.00 "," 12,530.50 "," 12,545.75 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12542.03,12559.47,12576.92,12594.36,12525.31,12508.58,12491.86
1655737200,6/20/22 15:00,6/20/22 8:00," 12,545.00 "," 12,591.50 "," 12,539.25 "," 12,582.25 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12538.06,12554.36,12570.67,12586.97,12521.53,12505.00,12488.47
1655740800,6/20/22 16:00,6/20/22 9:00," 12,583.00 "," 12,601.00 "," 12,569.75 "," 12,598.00 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12546.58,12569.58,12592.58,12615.58,12530.33,12514.08,12497.83
1655762400,6/20/22 22:00,6/20/22 15:00," 12,595.00 "," 12,601.75 "," 12,572.25 "," 12,589.50 ",12575.27778,12799.80556,13024.33,13248.86,12327.72,12080.17,11832.61,12567.89,12589.28,12610.67,12632.06,12553.94,12540.00,12526.06
1655766000,6/20/22 23:00,6/20/22 16:00," 12,589.75 "," 12,611.50 "," 12,566.50 "," 12,592.75 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12582.81,12605.19,12627.58,12649.97,12567.53,12552.25,12536.97
1655769600,6/21/22 0:00,6/20/22 17:00," 12,592.00 "," 12,627.50 "," 12,578.50 "," 12,616.00 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12589.22,12608.94,12628.67,12648.39,12573.69,12558.17,12542.64
1655773200,6/21/22 1:00,6/20/22 18:00," 12,616.00 "," 12,625.75 "," 12,593.75 "," 12,623.00 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12595.14,12617.86,12640.58,12663.31,12576.69,12558.25,12539.81
1655776800,6/21/22 2:00,6/20/22 19:00," 12,622.75 "," 12,636.25 "," 12,618.00 "," 12,630.00 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12603.92,12628.25,12652.58,12676.92,12586.25,12568.58,12550.92
1655780400,6/21/22 3:00,6/20/22 20:00," 12,630.00 "," 12,675.75 "," 12,627.50 "," 12,654.75 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12616.53,12636.31,12656.08,12675.86,12603.22,12589.92,12576.61
1655784000,6/21/22 4:00,6/20/22 21:00," 12,655.00 "," 12,662.00 "," 12,648.25 "," 12,659.50 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12631.64,12650.19,12668.75,12687.31,12617.36,12603.08,12588.81
1655787600,6/21/22 5:00,6/20/22 22:00," 12,659.50 "," 12,666.00 "," 12,626.50 "," 12,636.25 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12645.78,12660.31,12674.83,12689.36,12633.56,12621.33,12609.11
1655791200,6/21/22 6:00,6/20/22 23:00," 12,636.00 "," 12,649.25 "," 12,600.50 "," 12,622.75 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12650.72,12667.36,12684.00,12700.64,12633.53,12616.33,12599.14
1655794800,6/21/22 7:00,6/21/22 0:00," 12,622.50 "," 12,709.75 "," 12,617.00 "," 12,687.25 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12641.22,12657.36,12673.50,12689.64,12623.36,12605.50,12587.64
1655798400,6/21/22 8:00,6/21/22 1:00," 12,687.00 "," 12,714.75 "," 12,679.25 "," 12,702.00 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12646.14,12677.61,12709.08,12740.56,12617.28,12588.42,12559.56
1655802000,6/21/22 9:00,6/21/22 2:00," 12,702.50 "," 12,707.50 "," 12,665.75 "," 12,672.50 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12664.72,12697.19,12729.67,12762.14,12638.19,12611.67,12585.14
1655805600,6/21/22 10:00,6/21/22 3:00," 12,672.50 "," 12,685.25 "," 12,659.25 "," 12,676.25 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12683.97,12713.94,12743.92,12773.89,12657.28,12630.58,12603.89
1655809200,6/21/22 11:00,6/21/22 4:00," 12,676.00 "," 12,676.25 "," 12,619.25 "," 12,626.25 ",12504.30556,12686.27778,12868.25,13050.22,12304.69,12105.08,11905.47,12684.72,12701.36,12718.00,12734.64,12666.94,12649.17,12631.39
